CaseReference,PredictedSeverityScore,PredictedSevereProbability,RecommendedAction
HLD-000001,6,0.9717,Progress for investigation
HLD-000002,5,0.7938,Progress for investigation
HLD-000003,1,0.0008,Not progressed
HLD-000004,2,0.3075,Progress for investigation
HLD-000005,4,0.603,Progress for investigation
HLD-000006,3,0.1272,Not progressed
HLD-000007,2,0.1271,Not progressed
HLD-000008,3,0.1096,Not progressed
HLD-000009,2,0.0986,Not progressed
HLD-000010,4,0.7766,Progress for investigation
HLD-000011,2,0.0478,Not progressed
HLD-000012,3,0.2619,Not progressed
HLD-000013,6,0.9556,Progress for investigation
HLD-000014,1,0.0048,Not progressed
HLD-000015,1,0.0753,Not progressed
HLD-000016,2,0.4432,Progress for investigation
HLD-000017,6,0.7806,Progress for investigation
HLD-000018,4,0.5376,Progress for investigation
HLD-000019,3,0.25,Not progressed
HLD-000020,2,0.317,Progress for investigation
HLD-000021,5,0.8003,Progress for investigation
HLD-000022,4,0.7801,Progress for investigation
HLD-000023,5,0.8455,Progress for investigation
HLD-000024,2,0.1729,Not progressed
HLD-000025,1,0.0289,Not progressed
HLD-000026,3,0.2543,Not progressed
HLD-000027,3,0.3677,Progress for investigation
HLD-000028,2,0.0392,Not progressed
HLD-000029,2,0.1091,Not progressed
HLD-000030,4,0.6725,Progress for investigation
HLD-000031,2,0.2398,Not progressed
HLD-000032,1,0.0029,Not progressed
HLD-000033,1,0.0105,Not progressed
HLD-000034,3,0.3093,Progress for investigation
HLD-000035,4,0.5146,Progress for investigation
HLD-000036,2,0.2734,Not progressed
HLD-000037,5,0.6921,Progress for investigation
HLD-000038,4,0.6886,Progress for investigation
HLD-000039,3,0.3852,Progress for investigation
HLD-000040,2,0.0419,Not progressed
HLD-000041,4,0.6121,Progress for investigation
HLD-000042,2,0.0836,Not progressed
HLD-000043,1,0.0366,Not progressed
HLD-000044,1,0.0371,Not progressed
HLD-000045,3,0.3101,Progress for investigation
HLD-000046,3,0.2491,Not progressed
HLD-000047,1,0.0143,Not progressed
HLD-000048,6,0.9889,Progress for investigation
HLD-000049,2,0.0418,Not progressed
HLD-000050,5,0.7379,Progress for investigation
HLD-000051,3,0.496,Progress for investigation
HLD-000052,4,0.7177,Progress for investigation
HLD-000053,6,0.8934,Progress for investigation
HLD-000054,4,0.8066,Progress for investigation
HLD-000055,4,0.4641,Progress for investigation
HLD-000056,2,0.0982,Not progressed
HLD-000057,1,0.0125,Not progressed
